Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
ee8e9da8-54f6-304c-9f37-5e5fd49e30c5,4911213c-80ec-3ac1-a895-0b998bb9531d,Natisha940 Bradtke547,F,GENERAL PRACTICE,,Longfield,Kent,DA3 8,51.3667555,0.3049885,16,0
2ad9335f-78f4-397a-86af-3441b9334223,63999baf-da6b-3a16-b3cf-bac5a2ca4b2d,Ted955 Reilly981,M,GENERAL PRACTICE,,Tenterden,Kent,TN30 6,51.0680446,0.6906104,23,0
0847d8d6-b2e4-3245-beb3-15dc4487a4c4,8b29f8e0-925e-3028-9f31-b23ede5beac5,Tonya123 Schuppe920,F,GENERAL PRACTICE,,Dartford,Kent,DA1 1,51.4374945,0.2549568,130,0
060b0977-ca72-317a-b52d-c8a94d824bb4,72153992-093e-3195-be1b-49f3a43f5c1a,Shane235 Lueilwitz711,M,GENERAL PRACTICE,,Ashford,Kent,TN23 1,51.1411326,0.9113421,2,0
d91b980f-b2dd-3b7f-910b-5e059854bb67,c1dfa8a0-70d7-360f-b9d9-cca1d11d4b6d,Hong136 Schneider199,F,GENERAL PRACTICE,,Ashford,Kent,TN24 0,51.1366667,0.8986513,43,0
01652436-46a3-3928-80e3-d9962cf5c13f,679b3c8e-29e5-3ea5-a579-f7781320b9e9,Harlan808 Langosh790,M,GENERAL PRACTICE,,Maidstone,Kent,ME16 9,51.2768036,0.4815095,1,0
5bd70af4-7de6-3407-9f20-ec9bf718a365,3e60465b-2c08-3404-9fea-cc828403c90c,Bernie827 Borer986,M,GENERAL PRACTICE,Windmill Road nan,Gillingham,Kent,ME7 5,51.381811,0.5398967,31,0
87156919-7e24-3ce5-9304-b852ba798fb5,b19baaeb-58c9-3f36-bc76-3dbb61f1c00f,Roger751 Quitzon246,M,GENERAL PRACTICE,,Gravesend,Kent,DA11 7,51.4359743,0.3416894,2,0
d8fa4b34-440c-312b-baea-a34c525e274b,eb19f5a6-8664-3a06-be06-4bc0cfdad1a1,Lavon272 Erdman779,F,GENERAL PRACTICE,,Gillingham,Kent,ME7 4,51.3815177,0.5765589,1,0
408e01c1-9d13-3a17-b264-ddcd88fdb4af,fcb24483-139c-3048-8d31-dc793867e6ec,Khalilah870 Dare640,F,GENERAL PRACTICE,Windsor Road nan,Gravesend,Kent,DA11 7,51.419433,0.3722927,2,0
58fd7f7a-0cc1-3710-a416-96b2a912a034,a6549dc6-65f0-397e-8f94-8e7131d52f3d,Chanelle850 Schuster709,F,GENERAL PRACTICE,Ethelbert Road nan,Canterbury,Kent,CT1 2,51.2668892,1.0854941,42,0
1b74ee7b-2a4f-3b7a-bdce-f824de289007,1f490532-9aae-31f7-b657-217800070694,Nikia872 Williamson769,F,GENERAL PRACTICE,Rectory Fields nan,Cranbrook,Kent,TN17 3,51.0983681,0.5362187,113,0
b27af11b-acf0-37a7-a714-0b36f8ce1d40,a3a2d0b0-34c1-3524-929d-163895d8a78c,January966 Roberts511,F,GENERAL PRACTICE,,Gillingham,Kent,ME7 4,51.3815177,0.5765589,11,0
2bea90b8-ff7c-3d62-b4ea-afe565cb115d,c7f6e3f5-69ec-3b89-9d86-31cb374a05d5,Erwin847 Baumbach677,M,GENERAL PRACTICE,,Ashford,Kent,TN24 0,51.1366667,0.8986513,3,0
0f955d24-76e9-369c-aa50-7b9201ebdd07,f27e6ebf-9454-32d5-9815-b19d3ff84913,Jamison785 Davis923,M,GENERAL PRACTICE,Alder Road 1,Folkestone,Kent,CT19 5,51.0877204,1.1745591,77,0
685f3449-274b-3367-ad7d-1a038010e98f,74fbe624-5832-31ab-99c9-a488c6c2d24d,Agnes294 Dooley940,F,GENERAL PRACTICE,,Tenterden,Kent,TN30 6,51.0680446,0.6906104,14,0
e9a6b597-d52d-3756-818e-559c8e4ef65c,fbc14abb-8203-34b7-81dd-3df691f13f5d,Riley817 Prohaska837,M,GENERAL PRACTICE,Alder Road 1,Folkestone,Kent,CT19 5,51.0877204,1.1745591,154,0
55edd586-7a57-32e0-99e0-1d5d0f196a45,5437493d-20cb-39d4-9a28-81706e14cd2c,Harley673 McKenzie376,M,GENERAL PRACTICE,,,Kent,TN9 2,51.1800501,0.2759326,60,0
acf5de46-b9cf-3b7c-8d70-24e401392358,ab13a54c-20c5-35f3-8d0c-619c9270a198,Bell723 Toy286,F,GENERAL PRACTICE,Rectory Fields nan,Cranbrook,Kent,TN17 3,51.0983681,0.5362187,42,0
77d0da13-5845-38ec-a4db-37e33372f27b,93d278a4-9933-38d5-a3de-da15599119a5,Nicholle822 Crooks415,F,GENERAL PRACTICE,,,Kent,TN9 2,51.1800501,0.2759326,102,0
8332b1f3-dc91-3961-8fa3-db61b29d94c2,2fb83391-1779-3a88-ad13-3481bce9039e,Guillermo498 Fay398,M,GENERAL PRACTICE,,Gravesend,Kent,DA11 7,51.4359743,0.3416894,71,0
ba534c8b-424c-351d-a5d2-2e3d75bbab32,daf11831-5c95-3a60-92c6-8943999f373d,Nicholas495 Greenfelder433,M,GENERAL PRACTICE,Windsor Road nan,Gravesend,Kent,DA11 7,51.419433,0.3722927,14,0
9e6aec85-2a55-396d-a8c4-9ba8ebf4804e,671d4246-dce1-341b-8201-aba11b79cfe7,Alvin56 Crona259,M,GENERAL PRACTICE,,Ashford,Kent,TN24 0,51.1366667,0.8986513,86,0
d247cafa-923b-3cc5-957f-337db4cad031,1da992f3-135b-3bb8-8976-8e7b396bb256,Santina680 Dicki44,F,GENERAL PRACTICE,,Gillingham,Kent,ME7 4,51.3815177,0.5765589,16,0
5dfb97f5-1c45-3c79-99c8-9c3d376a953d,cf8d29fa-cf9e-3f8b-92ab-9ce3a594e374,Shelby741 Shields502,M,GENERAL PRACTICE,,,Kent,TN9 2,51.1800501,0.2759326,2,0
9c490703-2a8e-34cd-a5c5-0d07b8634b14,1b937904-5bc8-33e8-90e8-a32954e7d8e7,Jerome176 Sporer811,M,GENERAL PRACTICE,Rectory Fields nan,Cranbrook,Kent,TN17 3,51.0983681,0.5362187,9,0
a8ef179c-3d50-3534-a927-5ceb221bf973,c0f431d7-0f4b-38d1-9e99-db13ca7e7c12,Blythe746 Heller342,F,GENERAL PRACTICE,Tonbridge Road nan,Tunbridge Wells,Kent,TN1 1,51.1468261,0.3075739,15,0
5462b6e9-4a03-3f25-97dd-1149055ef7ad,08c48593-79ff-36f0-a754-cfa839a365e7,Dee580 Fahey393,M,GENERAL PRACTICE,Alder Road 1,Folkestone,Kent,CT19 5,51.0877204,1.1745591,66,0
6bb8eb0b-29c5-35b6-a8f5-daaa297aa87d,6625a446-d096-3f4c-a7b8-42263ff22bec,Yolando662 Huels583,F,GENERAL PRACTICE,,Gravesend,Kent,DA11 7,51.4359743,0.3416894,65,0
ed3cd7a7-84a2-36a2-b6c1-a759bdc7a954,245d0c9a-17a3-35ba-bb12-8beb63047a7b,Azzie965 Feil794,F,GENERAL PRACTICE,Stockett Lane 3,Maidstone,Kent,ME17 4,51.2334262,0.4944184,10,0
952cc9f0-4e9c-38ce-895c-f20f9424fbb9,c1bbd2a5-61ad-3f4f-8e74-4f1945f87a6d,Cody889 Ratke343,F,GENERAL PRACTICE,Stockett Lane 3,Maidstone,Kent,ME17 4,51.2334262,0.4944184,24,0
