Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
8bfeaea5-9d6a-53e9-6da2-b00606d73a09,2007-07-03,,999-22-4125,,,,Emogene884,Zieme486,,,,white,nonhispanic,F,Edenbridge  Kent  GB,501 Kemmer Gate,Maidstone,Kent,Maidstone,,ME99,51.2299460528415,0.5015467902187424,0.00,23924.96,5099
a23698cb-aadb-5ab8-5312-6fcd9b513291,1995-01-01,,999-84-8367,S99980146,X64818173X,Mr.,Chase54,Bartell116,,,M,white,nonhispanic,M,Hythe  Kent  GB,894 Harber Dam Suite 68,Luton,Kent,Luton,,ME5,51.376157579123145,0.536152820848352,0.00,36819.42,4685
55d5601c-c33f-492f-76d8-20cab5865637,2012-08-13,,999-87-2422,,,,Wilfred787,Roob72,,,,white,nonhispanic,M,Longfield  Kent  GB,781 Schmidt Mews Suite 21,Gravesend,Kent,Gravesend,,DA12,51.469945633368184,0.3831469159455629,0.00,25109.65,62581
a55ff27d-907a-4234-ee34-87df74a0d46d,2015-04-19,,999-17-9650,,,,Ossie995,Bernier607,,,,white,nonhispanic,F,Sutton  Kent  GB,133 Hayes Center Unit 9,Luton,Kent,Luton,,ME5,51.35503746972031,0.5890715721027734,0.00,17953.06,10252
0974ef91-8fa0-0487-7e28-301a91d97f9a,1970-10-16,,999-36-4339,S99917245,X15694138X,Mr.,Fredric73,Bode78,,,S,white,nonhispanic,M,Dartford  Kent  GB,451 Kohler Key Apt 39,St Mary's Bay,Kent,St Mary's Bay,,TN29,51.024252680605905,0.9327626139978107,0.00,959634.92,13442
0288e038-afbb-aa27-70f8-4247a559daa4,2008-12-01,,999-28-1567,,,,Cole117,Hoppe518,,,,white,nonhispanic,M,Gillingham  Kent  GB,916 Johnston Center Apt 18,High Halden,Kent,High Halden,,TN26,51.076830736865176,0.7086987096824846,0.00,19730.67,23154
554d3cd4-5a94-a015-8c82-cadaacb8f07e,1947-05-24,,999-50-3925,S99911392,X32102928X,Mr.,Thad495,Hauck852,,,S,white,nonhispanic,M,Herne Bay  Kent  GB,214 Wuckert Burg,Gravesend,Kent,Gravesend,,DA12,51.475640444311566,0.33541069974162935,0.00,796532.70,17045
741ef3b0-5b22-b7fe-79f3-47e304073522,1971-01-07,,999-65-9286,S99925579,X3218103X,Mrs.,Amberly552,Sawayn19,,Sipes176,M,white,nonhispanic,F,Preston  Kent  GB,720 Waelchi Bridge Suite 39,Royal Tunbridge Wells,Kent,Royal Tunbridge Wells,,TN1,51.17767531120512,0.234864783168159,0.00,268774.17,31567
23fc2ea1-34ae-4103-6f1e-ff113ec3f033,1979-08-12,,999-58-6716,S99918708,X67981269X,Mrs.,Ardith914,Keeling57,,Kemmer137,M,white,nonhispanic,F,Folkestone  Kent  GB,721 Ortiz Orchard,Hartley,Kent,Hartley,,DA3,51.059977474214016,0.49742211057557884,0.00,1020909.48,3513
6d847dfb-c265-544d-8a49-3a661b37c66f,1945-12-13,,999-96-8032,S99946154,X233898X,Mr.,Minh326,Spinka232,,,S,white,nonhispanic,M,Luton  Kent  GB,1092 Lakin Village,Folkestone,Kent,Folkestone,,CT19,51.09961589492619,1.2003459285177611,0.00,1585483.30,33052
